tahun,periode,jumlah
2018,Agustus,"2,95"
2018,April,"3,05"
2018,Desember,"2,86"
2018,Februari,"3,01"
2018,Januari,"3,1"
2018,Juli,"2,58"
2018,Juni,"2,67"
2018,Maret,"3,16"
2018,Mei,"2,74"
2018,November,"2,96"
2018,Oktober,"2,93"
2018,September,"2,75"
2019,Agustus,"2,51"
2019,April,"2,58"
2019,Desember,"2,86"
2019,Februari,"2,24"
2019,Januari,"2,6"
2019,Juli,"2,5"
2019,Juni,"2,4"
2019,Maret,"2,35"
2019,Mei,"2,7"
2019,November,"2,2"
2019,Oktober,"2,24"
2019,September,"2,45"
2020,Agustus,"1,39"
2020,April,"1,83"
2020,Desember,"1,44"
2020,Februari,"2,54"
2020,Januari,"2,02"
2020,Juli,"1,5"
2020,Juni,"2,04"
2020,Maret,"2,27"
2020,Mei,"1,83"
2020,November,"1,5"
2020,Oktober,"1,39"
2020,September,"1,3"
2021,Agustus,"1,88"
2021,April,"1,52"
2021,Desember,"2,45"
2021,Februari,"1,16"
2021,Januari,"1,25"
2021,Juli,"1,65"
2021,Juni,"1,19"
2021,Maret,"1,29"
2021,Mei,"1,61"
2021,November,"2,22"
2021,Oktober,"2,13"
2021,September,"1,92"
2022,Agustus,"5,2"
2022,April,"4,01"
2022,Desember,"6,52"
2022,Februari,"2,42"
2022,Januari,"2,6"
2022,Juli,"5,39"
2022,Juni,"4,92"
2022,Maret,"3,04"
2022,Mei,"4,24"
2022,November,"6,62"
2022,Oktober,"6,65"
2022,September,"6,8"
2023,Agustus,"4,13"
2023,April,"5,35"
2023,Desember,"2,92"
2023,Februari,"6,47"
2023,Januari,"6,41"
2023,Juli,"4,11"
2023,Juni,"4,59"
2023,Maret,"6,13"
2023,Mei,"5,02"
2023,November,"3,24"
2023,Oktober,"3,25"
2023,September,"3,01"
2024,Agustus,"2,05"
2024,April,"3,25"
2024,Desember,"1,51"
2024,Februari,"2,81"
2024,Januari,"2,41"
2024,Juli,"2,13"
2024,Juni,"2,21"
2024,Maret,"3,04"
2024,Mei,"2,83"
2024,November,"1,41"
2024,Oktober,"1,66"
2024,September,"1,73"
2025,Agustus,"2,17"
2025,April,"1,35"
2025,Februari,"-0,03"
2025,Januari,"1,06"
2025,Juli,"2,21"
2025,Juni,"2,02"
2025,Maret,"0,77"
2025,Mei,"1,22"
2025,Oktober,"1,98"
2025,September,"2,53"