No,Kabupaten/kota,Inflasi (Persen),Tahun
1,Kab. Sumenep,2.37,2020
2,Kab. Jember,"2,08",2020
3,Kota Kediri,1.93,2020
4,Kota Probolinggo,1.88,2020
5,Kota Madiun,1.86,2020
6,Kota Surabaya,2.71,2021
7,Kab. Sumenep,2.57,2021
8,Kota Madiun,2.00,2021
9,Kota Probolinggo,1.76,2021
10,Kota Malang,1.75,2021
11,Kab. Jember,7.39,2022
12,Kota Surabaya,6.59,2022
13,Kota Malang,6.45,2022
14,Kab. Sumenep,6.32,2022
15,Kab. Banyuwangi,"6,06",2022
16,Kab. Sumenep,"5,08",2023
17,Kota Surabaya,"3,03",2023
18,Kota Probolinggo,2.86,2023
19,Kota Kediri,2.64,2023
20,Kota Malang,2.56,2023
21,Kab. Sumenep,1.97,2024
22,Kota Probolinggo,1.90,2024
23,Kab. Gresik,1.85,2024
24,Kab. Tulungagung,1.75,2024
25,Kab. Banyuwangi,,2024
26,Kab. Sumenep,3.75,2025
27,Kab. Banyuwangi,3.42,2025
28,Kab. Tulungagung,"3,04",2025
29,Kota Probolinggo,"3,03",2025
30,Kab. Bojonegoro,2.97,2025